id,key,value,type
4440685,highway,trunk_link,regular
4440685,surface,asphalt,regular
4440686,lanes,2,regular
4440686,oneway,yes,regular
4440686,highway,trunk,regular
4440686,surface,asphalt,regular
4440687,lanes,2,regular
4440687,oneway,yes,regular
4440687,highway,trunk_link,regular
4440687,surface,asphalt,regular
4440688,lanes,2,regular
4440688,layer,1,regular
4440688,oneway,yes,regular
4440688,highway,trunk_link,regular
4440688,surface,asphalt,regular
4440689,lanes,2,regular
4440689,layer,1,regular
4440689,oneway,yes,regular
4440689,highway,trunk_link,regular
4440689,surface,asphalt,regular
4440690,lanes,2,regular
4440690,layer,1,regular
4440690,oneway,yes,regular
4440690,highway,trunk_link,regular
4440690,surface,asphalt,regular
4440691,lanes,2,regular
4440691,layer,1,regular
4440691,oneway,yes,regular
4440691,highway,trunk_link,regular
4440691,surface,asphalt,regular
4440888,highway,primary,regular
4440888,lanes,2,regular
4440888,oneway,yes,regular
4440888,ref,A4232,regular
4440888,surface,asphalt,regular
4440889,highway,primary,regular
4440889,lanes,2,regular
4440889,oneway,yes,regular
4440889,ref,A4232,regular
4440889,surface,asphalt,regular
4440890,lit,no,regular
4440890,ref,A4232,regular
4440890,name,Pentwyn Link Road,regular
4440890,lanes,2,regular
4440890,oneway,yes,regular
4440890,highway,primary,regular
4440892,name,North Road,regular
4440892,lanes,2,regular
4440892,oneway,yes,regular
4440892,highway,primary_link,regular
4440892,surface,asphalt,regular
4440892,maxspeed,20 mph,regular
4440893,ref,A470,regular
4440893,name,North Road,regular
4440893,lanes,2,regular
4440893,oneway,yes,regular
4440893,highway,primary,regular
4440893,surface,asphalt,regular
4440894,layer,0,regular
4440894,oneway,yes,regular
4440894,highway,trunk,regular
4440894,junction,roundabout,regular
4440894,maxspeed,20 mph,regular
4440894,direction,clockwise,regular
4440895,oneway,yes,regular
4440895,bicycle,no,regular
4440895,highway,trunk_link,regular
4525026,oneway,no,regular
4525026,source,"Local knowledge, Bing",regular
4525026,highway,service,regular
4525026,service,driveway,regular
4525026,surface,asphalt,regular
4571193,ref,A4119,regular
4571193,lanes,1,regular
4571193,oneway,yes,regular
4571193,highway,primary,regular
4571193,junction,roundabout,regular
4571193,direction,clockwise,regular
4571194,lanes,1,regular
4571194,oneway,yes,regular
4571194,highway,primary,regular
4571194,junction,roundabout,regular
4571194,direction,clockwise,regular
4571195,highway,primary,regular
4571195,lanes,2,regular
4571195,name,Llantrisant Road,regular
4571195,ref,A4119,regular
4571196,name,Windsor Road,regular
4571196,highway,tertiary,regular
4571196,maxspeed,30 mph,regular
4571197,ref,B4262,regular
4571197,name,Heol Isaf,regular
4571197,oneway,yes,regular
4571197,highway,secondary,regular
4571197,maxspeed,30 mph,regular
4571198,name,Park Road,regular
4571198,highway,unclassified,regular
4571199,name,Dan-y-Bryn Avenue,regular
4571199,highway,residential,regular
4571200,name,Drysgol Road,regular
4571200,highway,tertiary,regular
4813043,lit,yes,regular
4813043,ref,A48,regular
4813043,name,Newport Road,regular
4813043,lanes,2,regular
4813043,oneway,yes,regular
4813043,highway,primary,regular
4813043,surface,asphalt,regular
4813043,maxspeed,30 mph,regular
4813044,lit,yes,regular
4813044,ref,A48,regular
4813044,name,Newport Road,regular
4813044,lanes,2,regular
