id,user,uid,version,changeset,timestamp
4819928,m-a-p,822681,14,35268973,2015-11-12T19:22:24Z
4819933,TR42,5296090,8,46065570,2017-02-14T00:15:36Z
4819949,TR42,5296090,8,46065570,2017-02-14T00:15:36Z
4822493,maggot27,118021,14,42753039,2016-10-09T12:33:42Z
4822494,maggot27,118021,12,42753039,2016-10-09T12:33:35Z
4822498,maggot27,118021,14,42753039,2016-10-09T12:33:36Z
4822502,terrencem,82241,6,26797086,2014-11-15T12:32:43Z
4822503,Huw Waters,327578,4,9972742,2011-11-27T22:36:18Z
4822504,DaveF,115894,11,50530469,2017-07-24T14:31:37Z
4822521,mot_tom,3235126,15,49379153,2017-06-08T20:25:16Z
4822523,mot_tom,3235126,9,49379153,2017-06-08T20:25:16Z
4822531,mot_tom,3235126,9,49379153,2017-06-08T20:25:16Z
4822534,terrencem,82241,17,26797086,2014-11-15T12:32:42Z
4822535,terrencem,82241,10,26797086,2014-11-15T12:32:42Z
4822543,terrencem,82241,39,26797086,2014-11-15T12:32:42Z
4822547,Jay456,439547,9,47128247,2017-03-24T15:57:18Z
4822549,Jay456,439547,7,47128247,2017-03-24T15:57:18Z
4822556,neilwarnock,692703,5,12995512,2012-09-05T12:33:06Z
4822560,terrencem,82241,9,26845763,2014-11-17T15:41:03Z
4822570,Jay456,439547,7,45007564,2017-01-08T17:56:50Z
4822583,terrencem,82241,8,26845763,2014-11-17T15:41:04Z
4822585,terrencem,82241,6,26845763,2014-11-17T15:41:04Z
4822592,terrencem,82241,8,26845763,2014-11-17T15:41:04Z
4822598,Mike Baggaley,873940,11,41978430,2016-09-07T12:41:38Z
4822599,Mike Baggaley,873940,8,41978430,2016-09-07T12:41:38Z
4822606,Mike Baggaley,873940,7,41978430,2016-09-07T12:41:39Z
4822607,Terrence Morgan,2854648,7,30465227,2015-04-25T00:38:05Z
4822608,Terrence Morgan,2854648,8,30465227,2015-04-25T00:38:05Z
4825821,Terrence Morgan,2854648,12,30465227,2015-04-25T00:46:17Z
4825823,Gabriel Reynolds,6202436,15,50272621,2017-07-14T04:10:24Z
4825827,-Anarchy-,2304265,10,25401226,2014-09-12T21:59:54Z
4825859,Huw Waters,327578,4,9731591,2011-11-03T16:21:58Z
4825860,burto,87632,10,2692241,2009-09-30T19:54:01Z
4825863,chriscf,8235,12,2986423,2009-10-30T03:30:40Z
4825864,mjn,88771,6,41593899,2016-08-21T13:30:43Z
4825885,samuelestabrook,633750,9,34237531,2015-09-25T03:09:53Z
4825886,Terrence Morgan,2854648,35,30465227,2015-04-25T01:03:02Z
4825887,samuelestabrook,633750,9,34237531,2015-09-25T03:09:53Z
4826149,Mike Baggaley,873940,9,41978476,2016-09-07T12:43:47Z
4826150,Jay456,439547,8,34285394,2015-09-27T15:20:56Z
4826152,Terrence Morgan,2854648,5,30465227,2015-04-25T01:03:03Z
4826153,Terrence Morgan,2854648,5,30465227,2015-04-25T01:03:03Z
4833918,-Anarchy-,2304265,4,36392031,2016-01-05T22:01:12Z
4833965,m-a-p,822681,15,35199469,2015-11-09T18:56:20Z
4833988,-Anarchy-,2304265,26,36483288,2016-01-10T13:58:18Z
